Nodo	Page Rank
88	0.15965909090909092
4	0.1556344696969697
8	0.15321969696969695
80	0.1669034090909091
19	0.15804924242424243
48	0.15482954545454544
37	0.15321969696969695
55	0.16287878787878787
40	0.16287878787878787
51	0.15804924242424243
22	0.16609848484848483
26	0.16770833333333332
59	0.16770833333333332
33	0.1669034090909091
66	0.15482954545454544
44	0.15724431818181817
77	0.17575757575757575
84	0.16448863636363636
49	0.1709280303030303
5	0.15321969696969695
27	0.16126893939393938
45	0.16287878787878787
56	0.1669034090909091
85	0.15965909090909092
16	0.16448863636363636
41	0.16770833333333332
52	0.15965909090909092
9	0.16851325757575758
30	0.16046401515151515
81	0.15321969696969695
12	0.15804924242424243
38	0.15724431818181817
63	0.15643939393939393
74	0.15965909090909092
23	0.1652935606060606
60	0.15321969696969695
57	0.16287878787878787
82	0.15965909090909092
42	0.15482954545454544
53	0.15241477272727272
75	0.15482954545454544
6	0.15482954545454544
35	0.1556344696969697
2	0.15885416666666666
71	0.1556344696969697
79	0.15241477272727272
86	0.17414772727272726
28	0.15482954545454544
68	0.1789772727272727
17	0.17334280303030303
24	0.16126893939393938
39	0.17173295454545454
64	0.15965909090909092
69	0.17736742424242424
21	0.15965909090909092
47	0.17414772727272726
7	0.15321969696969695
18	0.16046401515151515
36	0.15321969696969695
54	0.17414772727272726
72	0.15321969696969695
58	0.17414772727272726
50	0.16287878787878787
3	0.16287878787878787
87	0.15965909090909092
61	0.15965909090909092
25	0.17012310606060604
76	0.16046401515151515
43	0.1669034090909091
10	0.17736742424242424
65	0.15965909090909092
